id,post_id,author_handle,content_text,fetched_at
tt_7351749141355121927_7352364833218233109,tt_7351749141355121927,usermbm3k9dhs7,nói hay quá bạn ơi😊😬😌,1781335838
tt_7351749141355121927_7354776499377537793,tt_7351749141355121927,bkhgne,e tao kìa,1781335838
tt_7351749141355121927_7352748025590776593,tt_7351749141355121927,nthienan0510,"coi phim xong r mới đặt, hảo 🥰",1781335838
tt_7537584514877394184_7644809303564763912,tt_7537584514877394184,uazalo4,18507582,1781335838
tt_7537584514877394184_7541004837246010133,tt_7537584514877394184,vietphanvan244,74205601,1781335838
tt_7537584514877394184_7633448832885506837,tt_7537584514877394184,ilovetiktokzoz,68859366 nhập mã để nhận 5 sao =50đ,1781335838
tt_7537584514877394184_7600462233236144914,tt_7537584514877394184,krypton2572,good cut: 64886650,1781335838
tt_7537584514877394184_7601468650365829909,tt_7537584514877394184,_yeu_cai_cho_gi_,Good cut ID:37491908,1781335838
tt_7537584514877394184_7568393186743010069,tt_7537584514877394184,iaghna,id 49409247,1781335838
tt_7537584514877394184_7543487853062800146,tt_7537584514877394184,paoen_pen,quay bàn xoay là phải quay nhiêu lần ms đc,1781335838
tt_7537584514877394184_7627516653680460565,tt_7537584514877394184,vuong25042,mã đi mn ơi 68470214,1781335838
tt_7537584514877394184_7567704073068528404,tt_7537584514877394184,hong.lun751,có điều kiện khi rút 340k ko b,1781335838
tt_7537584514877394184_7630306071173907201,tt_7537584514877394184,rnd33___,Good Cut id=14692101,1781335838
tt_7537584514877394184_7627168380957983496,tt_7537584514877394184,missyou_20088,id:14753095,1781335838
tt_7537584514877394184_7627826016598360850,tt_7537584514877394184,csh081111,"id 60558862 , nhận 5 s nè",1781335838
tt_7537584514877394184_7558678674008048392,tt_7537584514877394184,dbhkdbdhdkdd,mã28973463,1781335838
tt_7537584514877394184_7591496225896121095,tt_7537584514877394184,bruhhhhhhh808,ID 33372519 good cut +5 sao ngon lắm,1781335838
tt_7537584514877394184_7541695983655731969,tt_7537584514877394184,vietphanvan244,74205601,1781335838
tt_7537584514877394184_7540193434524336917,tt_7537584514877394184,vietphanvan244,74205601,1781335838
tt_7537584514877394184_7540304585128575762,tt_7537584514877394184,vietphanvan244,74205601,1781335838
tt_7537584514877394184_7540152453712528149,tt_7537584514877394184,vietphanvan244,74205601,1781335838
tt_7537584514877394184_7550443900201943826,tt_7537584514877394184,vuong6529,id=89417077,1781335838
tt_7077393816063446274_7078893718979920642,tt_7077393816063446274,ngtiendat201,ko có mạng,1781335838
tt_7077393816063446274_7080067036936143618,tt_7077393816063446274,nqocv,nếu không có mạng thì sao 😌,1781335838
tt_7077393816063446274_7078743603861979906,tt_7077393816063446274,leviettu19051993,xin được chào ạ,1781335838
tt_7077393816063446274_7117140424846050075,tt_7077393816063446274,12315s3,ko liên kết tài khoản ngân hàng thì có nịt nạp dk,1781335838
tt_7077393816063446274_7081486647711564546,tt_7077393816063446274,q_u_y_e_n_0107,Gõ Cửa kêu được mà😂😂,1781335838
tt_7077393816063446274_7080051790980449025,tt_7077393816063446274,phamquyen410,sos 😂😂,1781335838
tt_7077393816063446274_7078577280150274818,tt_7077393816063446274,_ngtinhmuadong_014,ét oét,1781335838
tt_7077393816063446274_7080435887582200578,tt_7077393816063446274,dangfa,94,1781335838
tt_7077393816063446274_7110217985427669786,tt_7077393816063446274,1998_29_3_py_78,nay còn lạc hậu vậy trời🥺,1781335838
tt_7077393816063446274_7111274321263313691,tt_7077393816063446274,cothuybeoyeutoc,ủa,1781335838
tt_7077393816063446274_7111459778970387227,tt_7077393816063446274,vanminh_67,mình có dùng nè tiện lợi lắm🥰,1781335838
